age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-24T12:52:34+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.135543,2267695.0,On or near Fairfax Close,-2.986211,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-24T12:52:34+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.135543,2267695.0,On or near Fairfax Close,-2.986211,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-24T20:07:51+00:00,False,,White,Person search,,Stolen goods,,,51.524619,2278441.0,On or near Parking Area,-2.598824,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-24T21:06:54+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,,,,,
over 34,,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-24T22:01:54+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,,,51.459290,2279828.0,On or near Harleston Street,-2.576637,
,,False,,,Misuse of Drugs Act 1971 (section 23),True,2023-01-25T00:00:00+00:00,,,,Vehicle search,,Controlled drugs,,,51.139281,2266921.0,On or near Brigg Close,-3.010676,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-25T01:51:46+00:00,False,,White,Person search,,Offensive weapons,,,,,,,
over 34,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-25T04:24:49+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.449205,2277453.0,On or near Ferry Terminal,-2.613162,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-25T06:45:19+00:00,False,,White,Person search,,Stolen goods,,,,,,,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-25T06:45:19+00:00,False,,White,Person search,,,,,,,,,
18-24,Khat or Cannabis warning,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-25T12:43:41+00:00,False,,Black,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.456685,2279182.0,On or near Broad Weir,-2.586981,
,,True,,Female,,,2023-01-25T13:45:32+00:00,,,,Person search,,,,,,,,,
,,True,,Female,,,2023-01-25T13:45:32+00:00,,,,Person search,,,,,,,,,
,,True,,Female,,,2023-01-25T13:45:32+00:00,,,,Person search,,,,,,,,,
,,True,,Male,,,2023-01-25T13:45:32+00:00,,,,Person search,,,,,,,,,
,,True,,Female,,,2023-01-25T13:45:32+00:00,,,,Person search,,,,,,,,,
,,True,,Male,,,2023-01-25T13:45:32+00:00,,,,Person search,,,,,,,,,
,,True,,Male,,,2023-01-25T13:45:32+00:00,,,,Person search,,,,,,,,,
,,True,,Female,,,2023-01-25T13:45:32+00:00,,,,Person search,,,,,,,,,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-25T15:15:56+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.018355,2266145.0,On or near Leycroft Road,-3.087398,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-25T15:48:38+00:00,False,,White,Person search,,Controlled drugs,,,51.404206,2278286.0,On or near Peterson Square,-2.600124,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-25T15:48:38+00:00,False,,White,Person search,,Controlled drugs,,,51.404206,2278286.0,On or near Peterson Square,-2.600124,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-25T20:01:43+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.425593,2280312.0,On or near Westleigh Park,-2.568489,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-25T20:01:43+00:00,False,,White,Person search,,Stolen goods,,,51.426135,2280523.0,On or near Beechmount Grove,-2.566137,
25-34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-25T21:17:38+00:00,False,,Asian,Person search,,Controlled drugs,,,51.464419,2285546.0,On or near Hobbs Lane,-2.480010,
10-17,,True,White - Irish,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-25T21:20:09+00:00,True,,White,Person search,,Offensive weapons,,,51.391665,2287811.0,On or near Hospital,-2.391218,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-25T23:51:27+00:00,False,,White,Person search,,Controlled drugs,,,51.443210,2278432.0,On or near Murray Street,-2.598707,
25-34,,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-26T01:32:23+00:00,False,,Mixed,Person search,,Controlled drugs,,,51.447724,2278976.0,On or near Colston Parade,-2.589874,
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-26T01:37:03+00:00,False,,Black,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.444172,2278756.0,On or near Bedminster Parade,-2.593396,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),True,2023-01-26T01:37:03+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.444172,2278756.0,On or near Bedminster Parade,-2.593396,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-26T03:20:43+00:00,False,,White,Person search,,Controlled drugs,,,51.440005,2278266.0,On or near Diamond Street,-2.601298,
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-26T03:20:43+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.440005,2278266.0,On or near Diamond Street,-2.601298,
,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-26T04:19:13+00:00,False,,White,Person search,,Controlled drugs,,,51.444172,2278756.0,On or near Bedminster Parade,-2.593396,
,,True,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,2023-01-26T07:28:05+00:00,False,,Black,Person search,,Controlled drugs,,,51.449942,2278246.0,On or near Explore Lane,-2.601098,
over 34,,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-26T07:28:08+00:00,False,,Black,Person search,,Offensive weapons,,,51.468365,2280716.0,On or near Mivart Street,-2.563118,
,,True,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),,2023-01-26T09:20:11+00:00,False,,Black,Person search,,Controlled drugs,,,51.449942,2278246.0,On or near Explore Lane,-2.601098,
18-24,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-26T14:00:20+00:00,False,,Black,Person search,,Offensive weapons,,,51.491805,2280614.0,On or near Branwhite Close,-2.563349,
,,True,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),,2023-01-26T14:00:20+00:00,False,,Black,Person search,,Offensive weapons,,,51.491805,2280614.0,On or near Branwhite Close,-2.563349,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-26T16:44:11+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,50.942735,2276690.0,On or near Wyndham Street,-2.625432,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-26T18:24:29+00:00,False,,White,Person search,,Stolen goods,,,51.524619,2278441.0,On or near Parking Area,-2.598824,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-26T18:24:29+00:00,False,,White,Person search,,Stolen goods,,,51.524619,2278441.0,On or near Parking Area,-2.598824,
,,False,,,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-31T00:00:00+00:00,,,,Vehicle search,,Stolen goods,,,51.326140,2268520.0,On or near Williton Crescent,-2.966843,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-26T18:33:58+00:00,False,,White,Person search,,Article for use in theft,,,51.523680,2278716.0,On or near Shopping Area,-2.594444,
25-34,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-26T18:40:52+00:00,False,,Black,Person search,,Controlled drugs,bu-arrest,Arrest,51.457339,2280108.0,On or near Hassell Drive,-2.572884,
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-26T20:24:19+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.527177,2278468.0,On or near Shopping Area,-2.597305,
25-34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-26T20:59:21+00:00,False,,,Person search,,Controlled drugs,,,51.432328,2273173.0,On or near Shopping Area,-2.758988,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-26T21:09:17+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.121015,2273867.0,On or near Tannery Close,-2.738156,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-26T21:09:17+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.121015,2273867.0,On or near Tannery Close,-2.738156,
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-26T21:16:25+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,50.942735,2276690.0,On or near Wyndham Street,-2.625432,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-26T23:05:11+00:00,False,,White,Person search,,Stolen goods,,,50.942735,2276690.0,On or near Wyndham Street,-2.625432,
25-34,,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-26T23:24:27+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,,,51.447439,2280874.0,On or near Shopping Area,-2.560567,
18-24,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-27T03:35:32+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.443467,2277252.0,On or near Farleys Yard,-2.616725,
18-24,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-27T03:35:32+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.443467,2277252.0,On or near Farleys Yard,-2.616725,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-27T05:57:37+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.422199,2279589.0,On or near Alard Road,-2.580427,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-27T05:57:37+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.422199,2279589.0,On or near Alard Road,-2.580427,
